# tsumugu-ed public character form list · char	pinyin	gloss	parts(glyph=role:identity | ...)	form-zh · built 2026-08-26 from entries/chars
君	jūn	noun — ruler, lord	尹=meaning:a hand holding a staff — to govern | 口=meaning:a mouth giving the order	一隻握著權杖的手（尹）在嘴（口）上面發令——治理、下令的人。當年那根棒子，如今磨成了上面三筆斜畫。
吞	tūn	verb — to swallow	口=meaning:a mouth | 天=sound:tiān — gives the sound	嘴（口）把整個吞下去——吞食。天（tiān）在上頭給聲音，離原來的音已經很遠。吞得下食物，也吞得下別人的地：吞併、吞噬。
否	fǒu/pǐ	adverb — no, whether or not	不=sound:bù — gives the sound, and the negation too | 口=meaning:a mouth, the spoken refusal	不壓在口（口）上：「不」這個否定，加一張嘴說出來——出聲的「不」。不（bù）也給聲音，磨到了 fǒu。換個讀法（pǐ），是事情堵住、走不通的壞局：是否、否則；否極泰來。
吧	ba/bā	particle — sentence-end softener: suggestion, agreement, a g	口=meaning:a mouth | 巴=sound:bā — gives the sound	口（口）配巴（bā）的聲音——造來寫口語的字。放在句尾，把話輕輕推給對方：走吧、好吧、是吧。讀 bā，拼的是外來的酒吧。
吩	fēn	verb — (in 吩咐) to instruct, tell, order	口=meaning:the mouth — speaking | 分=sound:fēn — gives the sound	嘴（口）把事情一份份分派下去（分）——口頭交代。分（fēn）原音照搬。幾乎只用在吩咐裡。
含	hán	verb — to hold in the mouth	口=meaning:the mouth | 今=sound:jīn — gives the sound	東西擱在嘴（口）裡，不吞下去——含著。今（jīn）給聲音，磨成了 hán。從「含在嘴裡」來了包含、含義、含恨。
吭	háng	noun — the throat	口=meaning:a mouth | 亢=sound:kàng — gives the sound	口（嘴）加上亢（kàng）的聲——鳥的喉嚨，聲音往上爬的那條道。把喉嚨一提就是放聲：引吭高歌。亢也給航、抗、杭聲音。
吳	wú	noun — a surname	口=meaning:a mouth, calling out | 夨=meaning:a person with the head tilted back	口（口）在上，下面是個仰頭側身的人（夨）——仰起頭大聲喊。本義是喧嘩、大聲說；如今這個字活在姓氏和南方的吳國、吳地。
吵	chǎo	verb — to quarrel, make noise	口=meaning:a mouth, the voice raised | 少=sound:shǎo — gives the sound	一張嘴（口）吵個不停——爭、鬧。少（shǎo）給聲音，這裡偏到了 chǎo。你一句我一句蓋過去：吵架、吵鬧、吵醒。
吸	xī	verb — to breathe in	口=meaning:a mouth | 及=sound:jí — gives the sound	嘴（口）把氣往裡拉——吸氣。及（jí）給聲音，級、汲底下也是它。從吸氣引申，凡是往裡拉的都是吸：吸收、吸引。
吹	chuī	verb — to blow, puff	口=meaning:the mouth | 欠=meaning:a person leaning, mouth open, breath going out	嘴（口）旁一個張口吐氣的人（欠）——把氣送出去，吹。從「吹氣」來了吹笛，也來了吹牛、吹噓。
吻	wěn	noun — lips	口=meaning:a mouth | 勿=sound:wù — gives the sound	嘴（口）的兩片唇——也就是用唇去碰。勿（wù）給聲音，忽底下也是它。從嘴唇引申到說話的口氣：口吻。
呀	ya	particle — ah, oh (surprise, emphasis)	口=meaning:a mouth — this is a sound that gets said | 牙=sound:yá — gives the sound	一張嘴（口），加牙（yá）給聲音——嘴裡發的一個音，磨成了輕飄飄的語氣詞。掛在句尾表驚訝、緩語氣：是呀、好呀、來呀。
呆	dāi	adjective — dull, blank	口=meaning:a mouth hanging open | 木=meaning:a tree, wood — stiff and unmoving	嘴（口）張著，下面一塊木（木）——臉僵在那裡，發愣。從這發木的樣子，引申出另一個用法：待著不動，像扎了根。
呈	chéng	verb — to present, submit, show	口=meaning:the mouth — to speak, to present | 王=form:a worn 壬 — a figure standing straight on the ground	口（口）在一個端正站立的人（王，壬磨來的）上頭——把話、把東西平平地擺到面前。從「呈上」來了呈現、呈報、呈獻。
告	gào	verb — to tell, announce	牛=meaning:an ox | 口=meaning:a mouth — the word spoken	牛（牛）加口（口）。古文字有兩個說法：愛頂人的牛，角上綁一塊橫木，告訴路人離遠一點——或是牛牽上祭壇，禱詞當場唸出來。兩條路走到同一處：把話說給人知道。告訴、報告、廣告。
呢	ne	particle — sentence-final: and …?	口=meaning:a mouth (口) | 尼=sound:ní — gives the sound	口（口）在旁，尼（ní）給聲音，磨成輕聲——把問題拋回去的那個音：你呢？
周	zhōu	adjective — all around	周=form:the old graph: a field gridded and dotted with seed — sown thick	田畫成格子，種子點得滿滿的——密，一處不漏。從這裡走出兩條路：繞一整圈（周圍、四周），和想得周到。朝代和姓氏拿它當名字。加上辶就是週，繞圈的星期；周末、週末，寫的是同一個週末。
味	wèi	noun — taste, flavor	口=meaning:a mouth, where taste is judged | 未=sound:wèi — gives the sound	一張嘴（口），加未（wèi）給聲音——舌頭嘗出來的東西。未在這裡照讀 wèi，沒走音。從滋味引申到事物的味道、體會的趣味：味道、口味、趣味。
呼	hū	verb — to breathe out	口=meaning:the mouth | 乎=sound:hū — gives the sound	嘴（口）把氣吐出去（乎）——呼氣。乎（hū）給聲音，幾乎原樣。從「吐氣」來了呼喊、呼叫、招呼。
命	mìng	noun — order, command	令=sound:lìng — gives the sound; a figure kneeling beneath the summons | 口=meaning:a mouth — the order spoken aloud	令——跪著聽召的人——加一個口（口）：說出口的令。令和命本是一個詞。上面說的話是命令；天說了的，就是你的命——生命、命運。
和	hé/hàn/huò	conj — and, with	口=meaning:a mouth — a voice answering | 禾=sound:hé — gives the sound exactly	口（口）跟著唱——聲音對上了。禾（hé）給聲音，一點沒變；更老的寫法龢吹的是排簫（龠），許多管子合成一個和音。合得起來，就有和平、溫和，也有把兩樣東西排在一起的和——我和你，臺灣說 hàn。讀 huò，是攪和的和。
咐	fù	verb — (in 吩咐 / 囑咐) to instruct, enjoin, tell to do	口=meaning:the mouth — speaking | 付=sound:fù — gives the sound	嘴（口）把要辦的事交付出去（付）——叮囑。付（fù）原音照搬。只跟著吩咐、囑咐走。
咕	gū	verb/onom — to coo, rumble, mutter (a low sound)	口=meaning:the mouth — where the sound comes from | 古=sound:gǔ — gives the sound	嘴巴（口）發出低低的聲音——咕咕、咕嚕。古（gǔ）給聲音，拉平成 gū 來摹聲。疊起來、配起來就摹聲：咕咕（鴿子）、咕嚕（肚子響）、嘀咕（小聲嘟囔）。
咖	kā	noun — used to write borrowed sounds: 咖啡 coffee, 咖哩 curry	口=meaning:a mouth — marks the char as a sound to say, not a thing | 加=sound:jiā — gives the sound, bent to kā	口（口）標明這是個純聲音、念出來的音節。加（jiā）借出聲音，偏到 kā。它拼出的「咖啡」，是純靠耳朵搬進來的外來語。
咦	yí	interjection — "huh?", "eh?" — surprise, doubt	口=meaning:the mouth — the cry | 夷=sound:yí — gives the sound	嘴（口）裡發出一聲，拉得長長的——驚訝的「咦？」，事情不對勁時那一愣。夷（yí）原音照搬。
咬	yǎo	verb — to bite, gnaw	口=meaning:the mouth, the teeth | 交=sound:jiāo — gives the sound	嘴（口）一合，上下牙交叉咬緊（交）——咬。交（jiāo）給聲音，磨成了 yǎo。從「牙合上」來了咬牙、咬人、咬住，也來了反咬一口。
咱	zán	pron — we, you and I	口=meaning:a mouth — marks the spoken word | 自=meaning:self	口（口）旁邊一個自（自）——為北方口語造的字。聲音是「自家」連讀，磨成了 zán。咱們把聽話的人也圈進來：你和我都算；我們可以不算你。
咳	ké	verb — to cough	口=meaning:a mouth — the sound comes out of it | 亥=sound:hài — gives the sound	一張口（口），逼出一個聲音。古文字寫的是嬰兒的笑，「小兒笑也」；同一個口中聲後來收窄成咳嗽那一聲。亥（hài）給聲音，轉成 ké。和該、孩、刻同一聲系。
哀	āi	adjective — grieved, sorrowful	口=meaning:a mouth, crying out | 衣=sound:yī — gives the sound, wrapped around the mouth	一張哭喊的嘴（口），裹在衣（衣）裡——把悲傷包住。衣（yī）上下裂開，既抱住嘴，也給聲音，yī 磨成了 āi。從悲傷引申：哀悼、哀求。
品	pǐn	noun — article, goods	口=meaning:a mouth — tripled: the many	三張口（口）——眾多。東西多了要分類：物品、產品；分出高下：品質、上品；口也拿來嚐，嚐了評好壞：品茶、品嘗。
哄	hōng/hǒng	verb — to roar (with noise)	口=meaning:a mouth, voices | 共=sound:gòng — gives the sound	許多張嘴（口）一起（共）出聲——鬧成一片。共（gòng）給聲音，洪、烘底下也是它。另一個讀音把這聲音轉向人：hǒng，用好話哄、騙。
哇	wā	interj — wow!	口=meaning:a mouth — the sound comes out of it | 圭=sound:guī — gives the sound	一張口（口）拋出一個原始的聲音——哭、嘔，今天用作張口的「哇！」。圭（guī）給聲音，到這裡聲母整個掉了，落到很遠的 wā。圭系有桂、掛、封。
哈	hā	interj — ha! (laughter)	口=meaning:a mouth | 合=sound:hé — gives the sound	口（口）加上合（hé）給聲音，磨開成 hā——嘴巴笑出來、呵出來的聲音。哈哈是笑，哈氣是往冷玻璃上呵的熱氣。
哎	āi	interj — oh!, hey! — surprise, pain, or mild dismay	口=meaning:a mouth — the sound it lets out | 艾=sound:ài — gives the sound, lightened to āi	口（口）一張，喊聲就出來了。艾（ài）借出聲音，抬成 āi。整個字就是這聲喊在出口被攔下：哎呀，嚇了一跳的叫聲。
員	yuán	noun — member, personnel	口=meaning:the round rim — a circle | 貝=form:the worn remainder of a cauldron (鼎)	鼎（磨成了貝）口上畫一個圈（口）——圓，這是圓最早的寫法。後來被借去點人數：人員、委員、店員；圓的意思另外加一圈，搬進了圓。
哥	gē	noun — elder brother	可=sound:kě — stacked twice, gives the sound	可疊著可——一句接一句：歌最早就寫成這個樣子。唐朝的口語把它整個借去叫哥哥，唱歌另外造了字——歌，就是哥加一個張嘴的欠。
哦	ó	interjection — oh (understanding)	口=meaning:a mouth, the sound it makes | 我=sound:wǒ — gives the sound	嘴（口）發出的一聲——明白了的「哦」，或半信半疑的「哦」。我（wǒ）給字框，峨、鵝底下也是它，到這裡磨成了一個光禿禿的母音。
哩	li	particle — sentence-final tone marker	口=meaning:the mouth — a spoken sound | 里=sound:lǐ — gives the sound	一個口（口）邊的聲音，借里來記音——掛在句尾的語氣。里（lǐ）給聲音，三聲鬆成輕聲。又借去記長度，寫成英哩。
哪	nǎ	pron — which, where (interrogative)	口=meaning:a mouth — the asking | 那=sound:nà — gives the sound base	把「那」（那）旁邊加一張嘴（口）：從指示的「那」變出開口要問的——哪一個？哪裡？那（nà）給聲音，聲調一挑成了 nǎ：哪裡、哪個、哪天。
