# tsumugu-ed public word list · headword	pinyin	gloss (full en definition)	level · built 2026-08-26 from entries/words + indexes/by-level.json
實際	shíjì	adjective/noun — actual; practical; real; in practice	TOCFL 4
實際上	shíjìshàng	adverb — actually; in reality; in practice	TOCFL 5
實驗	shíyàn	noun — an experiment; verb — to test for real	TOCFL 5
實驗室	shíyànshì	noun — laboratory; a room for experiments	TOCFL 5
寧可	nìngkě	adverb — would rather, prefer (to do one thing over another)	TOCFL 4
寧願	nìngyuàn	adverb — would rather, would prefer (to accept one option over another)	TOCFL 4
審判	shěnpàn	verb — to try (in court); to judge; noun — trial; judgment	TOCFL 6
審慎	shěnshèn	adjective — prudent, careful and deliberate	TOCFL 5
審查	shěnchá	verb — to examine and review, to vet, to censor; noun — review, scrutiny	TOCFL 6
審核	shěnhé	verb — to review and approve, to vet (an application, a document, a budget)	TOCFL 5
審計長	shěnjìzhǎng	noun — auditor-general, the chief of a national audit office	TOCFL 6
審議	shěnyì	verb — to deliberate, to review and discuss (a proposal, a bill)	TOCFL 7
寫作	xiězuò	verb — to write (compose), to do creative writing; noun — writing, composition	TOCFL 4
寫實	xiěshí	adjective — realistic, true to life (in art and writing); verb — to depict reality faithfully	TOCFL 5
寬度	kuāndù	noun — width, breadth (the measurement across)	TOCFL 4
寬廣	kuānguǎng	adjective — broad and wide; expansive (of space, view, mind)	TOCFL 5
寬闊	kuānkuò	adjective — broad and open, wide and spacious	TOCFL 5
寵愛	chǒng'ài	verb — to dote on, to favour and indulge	TOCFL 5
寵物	chǒngwù	noun — a pet	TOCFL 5
寶寶	bǎobao	noun — baby, little darling (affectionate term for an infant)	TOCFL 4
寶玉	bǎoyù	noun — precious jade; a treasured gem	TOCFL 5
寶石	bǎoshí	noun — a gem, a precious stone	TOCFL 5
寶貝	bǎobèi	noun — a treasure, a precious thing; a darling, a term of endearment for a child or loved one	TOCFL 3
寶貴	bǎoguì	adjective — precious, valuable; verb — to value, to treasure	TOCFL 3
寺廟	sìmiào	noun — a temple; a place of worship	TOCFL 3
封建	fēngjiàn	adjective/noun — feudal; feudalism	TOCFL 5
封條	fēngtiáo	noun — a paper seal; a strip pasted across a door or container to mark it closed off	TOCFL 5
封鎖	fēngsuǒ	verb — to blockade, to seal off; noun — a blockade	TOCFL 6
封閉	fēngbì	verb — to seal off, to close up; adjective — closed, shut off from outside	TOCFL 5
射手	shèshǒu	noun — a shooter, a marksman; (sports) a goal-scorer; Sagittarius	TOCFL 5
射擊	shèjī	verb — to shoot; to fire (a weapon); noun — shooting (the sport)	TOCFL 6
射線	shèxiàn	noun — a ray (of radiation); a ray (in geometry, a half-line from a point)	TOCFL 7
將來	jiānglái	noun — the future; time to come; adverb — in the future	TOCFL 4
將士	jiāngshì	noun — officers and soldiers; military men (the generals and the ranks)	TOCFL 7
將要	jiāngyào	adverb — about to, going to, will (soon) — marks imminent action	TOCFL 4
將軍	jiāngjūn	noun — a general (military commander)	TOCFL 6
將領	jiànglǐng	noun — a (military) general; a commanding officer	TOCFL 6
專人	zhuānrén	noun — a designated person, a dedicated staff member (assigned to handle one matter)	TOCFL 4
專利	zhuānlì	noun — patent; an exclusive right (to an invention)	TOCFL 4
專制	zhuānzhì	noun — autocracy, despotism; adj — autocratic	TOCFL 6
專員	zhuānyuán	noun — a specialist staff member; a commissioner or officer in charge of one area	TOCFL 5
專家	zhuānjiā	noun — expert; specialist	TOCFL 4
專心	zhuānxīn	verb — to concentrate, to focus the mind; adjective — attentive, single-minded	TOCFL 3
專案	zhuān'àn	noun — project; dedicated case; specific plan or task	TOCFL 4
專業	zhuānyè	noun — specialization; major; professional field; adjective — professional; specialized	TOCFL 3
專櫃	zhuānguì	noun — a brand counter; a dedicated retail booth for one brand (typically in a department store)	TOCFL 5
專注	zhuānzhù	adjective — focused; verb — to give one thing your whole mind	TOCFL 5
專門	zhuānmén	adjective/adverb — specialized; specifically; exclusively; for a special purpose	TOCFL 3
專題	zhuāntí	noun — a special topic; a dedicated feature or report on one subject	TOCFL 6
尊嚴	zūnyán	noun — dignity, honor	TOCFL 5
尊敬	zūnjìng	verb — to respect, to hold in honor; noun — respect, esteem	TOCFL 3
尊重	zūnzhòng	verb — to respect, to value; noun — respect	TOCFL 5
尋常	xúncháng	adjective — ordinary, usual, common	TOCFL 6
尋思	xúnsi	verb — to ponder, turn over in one's mind	TOCFL 5
尋找	xúnzhǎo	verb — to look for; to search for; to seek	TOCFL 5
對不起	duìbuqǐ	phrase — sorry, excuse me; to let someone down, to wrong someone	TOCFL 1
對了	duìle	phrase — that's right!, correct; (as an aside) oh, by the way	TOCFL 3
對付	duìfù	verb — to deal with; to cope with; to handle (a problem or person)	TOCFL 5
對外	duìwài	adjective — outward-facing, external, toward the outside world	TOCFL 1
對岸	duì'àn	noun — the opposite bank, the far shore (across a river or strait)	TOCFL 4
對峙	duìzhì	verb — to confront, to stand off against each other; (of forces) to face each other in deadlock	TOCFL 5
對待	duìdài	verb — to treat, to deal with (a person, a matter) in a certain way	TOCFL 4
對手	duìshǒu	noun — opponent, rival; a match (someone of equal skill)	TOCFL 4
對抗	duìkàng	verb — to resist, oppose, stand against; to confront, pit against	TOCFL 4
對方	duìfāng	noun — the other party; the opposite side; one's counterpart	TOCFL 4
對於	duìyú	preposition — regarding, with respect to, as for (introduces the thing concerned)	TOCFL 4
對比	duìbǐ	verb — to contrast, to set side by side; noun — a contrast, the ratio between two things	TOCFL 5
對照	duìzhào	verb — to set side by side and compare; noun — a contrast	TOCFL 5
對立	duìlì	verb — to oppose, be set against; adj — opposing, antagonistic	TOCFL 5
對策	duìcè	noun — countermeasure, a plan to deal with a situation or threat	TOCFL 4
對話	duìhuà	noun — a dialogue, a conversation; verb — to talk together, to hold talks	TOCFL 3
對象	duìxiàng	noun — the target or object of an action; a steady boyfriend or girlfriend, a marriage prospect	TOCFL 3
對面	duìmiàn	noun — the opposite side, the place directly across	TOCFL 1
導師	dǎoshī	noun — a mentor, tutor, supervising teacher	TOCFL 5
導彈	dǎodàn	noun — missile; guided projectile	TOCFL 6
導演	dǎoyǎn	noun — a director (of film, theater); verb — to direct	TOCFL 4
導致	dǎozhì	verb — to lead to; to cause; to result in	TOCFL 4
導遊	dǎoyóu	noun — tour guide; verb — to guide tourists around	TOCFL 4
小伙子	xiǎohuǒzi	noun — a young man, a lad	TOCFL 5
小便	xiǎobiàn	verb — to urinate, pass water; noun — urine	TOCFL 4
小偷	xiǎotōu	noun — a thief, a petty robber	TOCFL 3
小吃	xiǎochī	noun — a snack, a small local dish; street food	TOCFL 1
小夥子	xiǎohuǒzi	noun — a young man, a lad	TOCFL 5
小姐	xiǎojiě	noun — miss; young lady; a form of address for a young woman	TOCFL 1
小子	xiǎozi	noun — kid; young fellow; brat (often teasing or scolding)	TOCFL 5
小孩	xiǎohái	noun — a child, a kid	TOCFL 1
小學	xiǎoxué	noun — primary school; elementary school	TOCFL 2
小小的	xiǎoxiǎode	adjective — tiny; teeny; little (the doubled, softened form of 小)	TOCFL 1
小心	xiǎoxīn	verb/adjective — to be careful; cautious	TOCFL 2
小時	xiǎoshí	noun — hour (unit of time, 60 minutes)	TOCFL 2
小朋友	xiǎopéngyǒu	noun — a (young) child; a friendly term adults use to address children	TOCFL 1
小氣	xiǎoqì	adjective — stingy, miserly; petty, mean-spirited	TOCFL 4
小組	xiǎozǔ	noun — a small group; a team	TOCFL 5
小腿	xiǎotuǐ	noun — the lower leg, the calf (below the knee)	TOCFL 4
小說	xiǎoshuō	noun — novel, fiction	TOCFL 4
小販	xiǎofàn	noun — street vendor, peddler, small-scale trader	TOCFL 4
小費	xiǎofèi	noun — a tip, a gratuity	TOCFL 2
小麥	xiǎomài	noun — wheat (the grain crop)	TOCFL 4
少女	shàonǚ	noun — a young girl; a maiden	TOCFL 4
少年	shàonián	noun — a youth, an adolescent boy (roughly ten to teens)	TOCFL 4
少數	shǎoshù	noun — a small number, a minority	TOCFL 4
尖椒	jiānjiāo	noun — pointed chili pepper (the long tapering kind used in cooking)	TOCFL 6
尖端	jiānduān	noun — the pointed tip; adj — cutting-edge, most advanced	TOCFL 5
尖銳	jiānruì	adjective — sharp, pointed; (of sound) shrill, piercing; (of conflict) acute, intense	TOCFL 4
尚書	shàngshū	noun — a minister, head of a ministry (in imperial China); also the classic "Book of Documents"	TOCFL 6
尚未	shàngwèi	adverb — not yet; still has not	TOCFL 6
尤其	yóuqí	adverb — especially; in particular; above all	TOCFL 4
就是	jiùshì	phrase — that is; exactly; (it) is precisely; agreeing emphatically	TOCFL 3
就是說	jiùshìshuō	phrase — that is to say, in other words, which means (introduces a restatement)	TOCFL 4
就業	jiùyè	verb — to take up a job; to find employment	TOCFL 5
就算	jiùsuàn	conjunction — even if; granting that	TOCFL 4
就緒	jiùxù	verb — to be in order, ready, settled	TOCFL 5
就要	jiùyào	adverb — about to; will soon; on the point of (an event close at hand)	TOCFL 1
尷尬	gāngà	adjective — awkward, embarrassing; caught in a tight spot	TOCFL 5
尺寸	chǐcùn	noun — size, dimensions, measurements	TOCFL 4
尾巴	wěiba	noun — tail (of an animal); the tail end, the very back of something	TOCFL 4
局勢	júshì	noun — the state of affairs, the (political or military) situation	TOCFL 6
局部	júbù	noun — a part, a portion; adj — local, partial	TOCFL 5
局長	júzhǎng	noun — the head of a bureau; a bureau or department director	TOCFL 5
局面	júmiàn	noun — situation; the state of affairs	TOCFL 6
屁股	pìgu	noun — buttocks, bottom, backside; (figuratively) the rear end of a thing	TOCFL 4
居住	jūzhù	verb — to reside; to live (somewhere)	TOCFL 5
居民	jūmín	noun — resident; inhabitant	TOCFL 4
居然	jūrán	adverb — unexpectedly; to one's surprise	TOCFL 4
屆時	jièshí	adverb — when the time comes, at that appointed time	TOCFL 5
屈服	qūfú	verb — to yield, give in, submit	TOCFL 5
屋裡	wūlǐ	noun/locative — inside the house, indoors	TOCFL 2
屍體	shītǐ	noun — a corpse; a dead body	TOCFL 6
展出	zhǎnchū	verb — to put on display, exhibit (works, goods) to the public	TOCFL 4
展望	zhǎnwàng	verb — to look ahead, survey the prospect; noun — an outlook	TOCFL 5
展現	zhǎnxiàn	verb — to show, display, reveal (lay open before the eyes)	TOCFL 5
展示	zhǎnshì	verb — to display, to show, to exhibit	TOCFL 5
展覽	zhǎnlǎn	noun — exhibition, show, display; verb — to exhibit, put on show	TOCFL 4
展開	zhǎnkāi	verb — to unfold; to spread out; to launch; to open up (an activity or plan)	TOCFL 4
履歷	lǚlì	noun — a résumé, CV; one's record of experience	TOCFL 5
履行	lǚxíng	verb — to carry out, fulfil (a duty, promise, contract)	TOCFL 5
屬於	shǔyú	verb — to belong to; to be part of; to be categorized as	TOCFL 4
山區	shānqū	noun — a mountainous area; hill country	TOCFL 4
山地	shāndì	noun — mountainous land; hilly terrain; the highlands	TOCFL 1
山峰	shānfēng	noun — a mountain peak, a summit	TOCFL 5
山脈	shānmài	noun — a mountain range	TOCFL 6
山西	Shānxī	proper noun — Shanxi, a northern Chinese province west of the Taihang Mountains, capital Taiyuan	named-entity
山谷	shāngǔ	noun — a valley, the low ground between mountains	TOCFL 5
岩石	yánshí	noun — rock, stone (geological)	TOCFL 6
峭壁	qiàobì	noun — a cliff, a sheer rock face	TOCFL 5
島嶼	dǎoyǔ	noun — islands, islands and islets (collectively)	TOCFL 5
峽谷	xiágǔ	noun — a gorge, a canyon, a deep narrow valley	TOCFL 5
崇尚	chóngshàng	verb — to esteem, to hold in high regard, to advocate	TOCFL 5
崇拜	chóngbài	verb — to worship, adore, idolize, revere	TOCFL 4
崇禎	Chóngzhēn	proper noun — Chongzhen, reign-name of the last Ming emperor (r. 1627–1644)	TOCFL 7
崇高	chónggāo	adjective — lofty, noble, sublime, exalted (of ideals, character)	TOCFL 4
崗位	gǎngwèi	noun — a post; one's position or station at work	TOCFL 6
崩潰	bēngkuì	verb — to collapse, break down, fall apart (of a system, an army, a mind)	TOCFL 5
嶄新	zhǎnxīn	adjective — brand-new, completely new	TOCFL 5
州長	zhōuzhǎng	noun — state governor (head of a U.S. or similar state)	TOCFL 5
巡撫	xúnfǔ	noun — provincial governor (a Ming and Qing imperial office)	TOCFL 6
巡視	xúnshì	verb — to inspect on rounds, tour and check over	TOCFL 5
巡邏	xúnluó	verb — to patrol, walk a beat keeping watch	TOCFL 5
工人	gōngrén	noun — worker; laborer	TOCFL 2
工作	gōngzuò	verb — to work; noun — work, job	TOCFL 1
工作記憶	gōngzuò jìyì	noun — working memory: holding things in mind while using them	psych term
工具	gōngjù	noun — tool; instrument; the means for doing a job	TOCFL 4
工匠	gōngjiàng	noun — a craftsman, an artisan	TOCFL 6
工地	gōngdì	noun — a construction site, a building site	TOCFL 5
工夫	gōngfu	noun — time and effort spent; the time taken; skill gained through practice	TOCFL 4
工廠	gōngchǎng	noun — a factory, a plant	TOCFL 4
工會	gōnghuì	noun — labor union, trade union (organization of workers)	TOCFL 4
工業	gōngyè	noun — industry; manufacturing	TOCFL 3
工程	gōngchéng	noun — engineering; a project; construction work	TOCFL 4
工藝	gōngyì	noun — craft; craftsmanship; a manufacturing technique	TOCFL 6
工藝品	gōngyìpǐn	noun — a handicraft, an item of craftwork	TOCFL 5
工讀	gōngdú	verb — to work one's way through school; to study and work part-time	TOCFL 5
工資	gōngzī	noun — wages, pay	TOCFL 5
工錢	gōngqián	noun — wages, pay for labor (esp. for manual or hired work)	TOCFL 4
左右	zuǒyòu	noun/adverb — left and right; approximately; around (a number); to influence	TOCFL 2
左手	zuǒshǒu	noun — the left hand; the left side	TOCFL 1
巧克力	qiǎokèlì	noun — chocolate	TOCFL 1
巧合	qiǎohé	noun — a coincidence; adj — coincidental	TOCFL 5
巧妙	qiǎomiào	adjective — clever, ingenious, deftly contrived	TOCFL 4
巨人	jùrén	noun — a giant; a towering figure in a field	TOCFL 5
巨大	jùdà	adjective — enormous; huge; gigantic; immense	TOCFL 4
差一點兒	chàyīdiǎnr	adverb — almost; nearly; came within a hair of (happening)	TOCFL 3
差不多	chàbuduō	adv/adj — almost, about the same, more or less	TOCFL 2
差別	chābié	noun — a difference; a distinction; a gap between two things	TOCFL 4
差異	chāyì	noun — difference, discrepancy	TOCFL 4
差距	chājù	noun — gap, disparity, the distance between two values	TOCFL 4
差錯	chācuò	noun — error, slip-up, mishap (often in "出差錯" go wrong)	TOCFL 4
差額	chā'é	noun — the difference, the margin (between two amounts); a shortfall or balance	TOCFL 5
差點	chàdiǎn	adverb — almost; nearly; came within a hair of (happening)	TOCFL 3
差點兒	chàdiǎnr	adverb — almost; nearly; came within a hair of (happening)	TOCFL 3
已婚	yǐhūn	adjective — married, already wed	TOCFL 4
已有	yǐyǒu	verb — to already have; (there) already exists	TOCFL 3
已知	yǐzhī	adjective — known, already established; (in math) given	TOCFL 4
已經	yǐjīng	adverb — already	TOCFL 2
巴士	bāshì	noun — a bus	TOCFL 2
巴黎	Bālí	proper noun — Paris, the capital of France	TOCFL 4
